SELECT 125
id,competencia_mov,municipio,secao,subclasse,saldo_movimentacao,cbo_2002_ocupacao,categoria,grau_de_instrucao,idade,horas_contratuais,raca_cor,sexo,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_de_deficiencia,ind_trab_intermitente,ind_trab_parcial,salario,tam_estab_jan,indicador_aprendiz,origem_da_informacao,indicador_de_fora_do_prazo,unidade_salario_codigo,faixa_etaria,faixa_hora_contrat,ano,rn
2686196,2020-10,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas","Comércio Varejista de Mercadorias em Geral, com Predominância de Produtos Alimentícios - Supermercados",-1,Vendedor de Comercio Varejista,Não Identificado,Médio Completo,48,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1060,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020,11
2686197,2020-11,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio a Varejo de Peças e Acessórios Novos para Veículos Automotores,-1,Soldador,Não Identificado,Médio Completo,35,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1796,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,12
2686198,2020-11,Al-Maceio,Indústrias de Transformação,Fabricação de Embalagens de Material Plástico,-1,Operador de Empilhadeira,Não Identificado,Médio Completo,43,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1300,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020,13
2686199,2020-12,Al-Maceio,Atividades Administrativas e Serviços Complementares,Aluguel de Andaimes,-1,Contador,Não Identificado,Superior Completo,32,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,2700,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,14
2686200,2020-12,Al-Maceio,Construção,Construção de Edifícios,-1,Vigia,Não Identificado,Fundamental Completo,33,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,562.11,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,15
2686201,2020-12,Al-Maceio,Construção,Construção de Edifícios,-1,Operador de Betoneira,Não Identificado,Até 5ª Incompleto,37,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1029.98,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,16
2686202,2020-12,Al-Maceio,Construção,Construção de Edifícios,-1,Vigia,Não Identificado,Médio Incompleto,38,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,562.11,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,17
2686203,2020-12,Al-Maceio,Construção,Construção de Edifícios,-1,Servente de Obras,Não Identificado,Médio Completo,21,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,905.64,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2020,18
2686204,2020-12,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Varejista de Artigos Esportivos,-1,Vendedor de Comercio Varejista,Não Identificado,Médio Completo,24,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2020,19
2686205,2020-01,Al-Maceio,Atividades Imobiliárias,Gestão e Administração da Propriedade Imobiliária,-1,Porteiro de Edificios,Não Identificado,Médio Completo,36,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1050.54,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,20
2686206,2020-01,Al-Maceio,Atividades Imobiliárias,Gestão e Administração da Propriedade Imobiliária,-1,Porteiro de Edificios,Não Identificado,Médio Completo,37,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1335.49,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,21
2686207,2020-01,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Atacadista de Medicamentos e Drogas de Uso Humano,-1,Assistente Administrativo,Não Identificado,Médio Completo,32,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,998,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,22
2686208,2020-03,Al-Maceio,Educação,Ensino Médio,-1,Professor de Nivel Medio no Ensino Fundamental,Não Identificado,Superior Completo,34,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1149.5,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2020,23
2686209,2020-03,Al-Arapiraca,Educação,Ensino Fundamental,-1,Vigia,Não Identificado,6ª a 9ª Fundamental,43,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1087.65,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2020,24
2686210,2020-03,Al-Maceio,Construção,Construção de Edifícios,-1,Pedreiro,Não Identificado,Médio Completo,61,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1440.78,Zero,Não,EmpregadoWEB,Não,99,50 A 64 anos,,2020,25
2800098,2021-01,Al-Maceio,Construção,Construção de Edifícios,-1,Servente de Obras,Não Identificado,Médio Completo,21,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1045,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,1
2800099,2021-01,Al-Maceio,Outras Atividades de Serviços,Atividades Associativas não Especificadas Anteriormente,-1,Pintor de Obras,Não Identificado,Médio Completo,28,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1130.66,Zero,Não,EmpregadoWEB,Não,99,25 A 29 anos,,2021,2
2800100,2021-01,Al-Maceio,Educação,Outras Atividades de Ensino não Especificadas Anteriormente,-1,"Auxiliar de Escritorio, em Geral",Não Identificado,Superior Incompleto,23,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1830.73,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,3
2800101,2021-02,Al-Maceio,Construção,Construção de Edifícios,-1,Carpinteiro de Obras,Não Identificado,Médio Completo,39,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1440.78,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2021,4
2800102,2021-02,Al-Maceio,Construção,Construção de Edifícios,-1,Servente de Obras,Não Identificado,Médio Completo,24,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,5
2800103,2021-02,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Varejista de Materiais de Construção em Geral,-1,Auxiliar de Contabilidade,Não Identificado,Médio Completo,33,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,2450,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2021,6
2800104,2021-02,Al-Maceio,Indústrias de Transformação,Fabricação de Artefatos de Cimento para Uso na Construção,-1,Armador de Estrutura de Concreto Armado,Não Identificado,Médio Completo,46,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1238.12,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2021,7
2800105,2021-02,Al-Maceio,Alojamento e Alimentação,Fornecimento de Alimentos Preparados Preponderantemente para Empresas,-1,Atendente de Lojas e Mercados,Não Identificado,Médio Completo,22,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,8
2800106,2021-03,Al-Maceio,Educação,Ensino Fundamental,-1,Professor de Danca,Não Identificado,Médio Completo,37,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,429.35,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2021,9
2800107,2021-03,Al-Maceio,Indústrias de Transformação,Fabricação de Produtos de Padaria e Confeitaria com Predominância de Produção Própria,-1,Supervisor de Vendas Comercial,Não Identificado,Médio Completo,26,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1265.8,Zero,Não,EmpregadoWEB,Não,99,25 A 29 anos,,2021,10
2800108,2021-04,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Atacadista de Lubrificantes,-1,Motorista de Caminhao (Rotas Regionais e Internacionais),Não Identificado,Médio Incompleto,47,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1884.78,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2021,11
2800109,2021-04,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Varejista de Materiais de Construção em Geral,-1,"Auxiliar de Escritorio, em Geral",Não Identificado,Médio Completo,30,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1415,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2021,12
2800110,2021-04,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas","Comércio Varejista de Mercadorias em Geral, com Predominância de Produtos Alimentícios - Minimercados, Mercearias e Armazéns",-1,Atendente de Farmacia - Balconista,Não Identificado,Médio Completo,22,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,13
2800111,2021-05,Al-Maceio,Educação,Ensino Fundamental,-1,Auxiliar de Desenvolvimento Infantil,Não Identificado,Superior Incompleto,47,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,2166.92,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2021,14
2800112,2021-05,Al-Maceio,Educação,Ensino Fundamental,-1,Auxiliar de Desenvolvimento Infantil,Não Identificado,Superior Completo,47,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1211.31,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2021,15
2800113,2021-05,Al-Maceio,Construção,Construção de Edifícios,-1,"Auxiliar de Escritorio, em Geral",Não Identificado,Médio Completo,20,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,16
2800114,2021-05,Al-Maceio,Indústrias Extrativas,"Extração de Areia, Cascalho ou Pedregulho e Beneficiamento Associado",-1,Motorista de Caminhao (Rotas Regionais e Internacionais),Não Identificado,Médio Completo,40,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,2149,Zero,Não,EmpregadoWEB,Não,99,40 A 49 anos,,2021,17
2800115,2021-05,Al-Maceio,Indústrias Extrativas,"Extração de Areia, Cascalho ou Pedregulho e Beneficiamento Associado",-1,Motorista de Caminhao (Rotas Regionais e Internacionais),Não Identificado,Médio Completo,24,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,2149,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,18
2800116,2021-01,Al-Maceio,Construção,Construção de Edifícios,-1,Servente de Obras,Não Identificado,Médio Completo,21,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1045,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,19
2800117,2021-01,Al-Maceio,Outras Atividades de Serviços,Atividades Associativas não Especificadas Anteriormente,-1,Pintor de Obras,Não Identificado,Médio Completo,28,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1130.66,Zero,Não,EmpregadoWEB,Não,99,25 A 29 anos,,2021,20
2800118,2021-01,Al-Maceio,Educação,Outras Atividades de Ensino não Especificadas Anteriormente,-1,"Auxiliar de Escritorio, em Geral",Não Identificado,Superior Incompleto,23,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1830.73,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,21
2800119,2021-07,Al-Maceio,"Transporte, Armazenagem e Correio","Transporte Rodoviário de Carga, Exceto Produtos Perigosos e Mudanças, Intermunicipal, Interestadual e Internacional",-1,Gerente Administrativo,Não Identificado,Médio Completo,33,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,3378,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2021,22
2800120,2021-07,Al-Maceio,"Transporte, Armazenagem e Correio","Transporte Rodoviário de Carga, Exceto Produtos Perigosos e Mudanças, Intermunicipal, Interestadual e Internacional",-1,Comprador,Não Identificado,Médio Incompleto,33,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,3448,Zero,Não,EmpregadoWEB,Não,99,30 A 39 anos,,2021,23
2800121,2021-07,Al-Maceio,"Comércio, Reparação de Veículos Automotores e Motocicletas",Comércio Varejista de Produtos Alimentícios em Geral ou Especializado em Produtos Alimentícios não Especificados Anteriormente,-1,Masseiro (Massas Alimenticias),Não Identificado,Médio Completo,24,,Não Identificado,Mulher,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1206,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,24
2800122,2021-08,Al-Maceio,Indústrias de Transformação,Recondicionamento e Recuperação de Motores para Veículos Automotores,-1,"Mecanico de Manutencao de Automoveis, Motocicletas e Veiculos Similares",Não Identificado,Fundamental Completo,21,,Não Identificado,Homem,CNPJ RAIZ,CNPJ,Desligamento por demissão sem justa causa,Não Deficiente,Não Identificado,Não Identificado,1100,Zero,Não,EmpregadoWEB,Não,99,18 A 24 anos,,2021,25
2960679,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Cozinheiro Geral,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,28,44,Não informada,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 20 a 49,Não,eSocial,Não,5,25 A 29 anos,41 a 44 horas,2022,1
2960680,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Camareiro  de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,44,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1212,De 20 a 49,Não,eSocial,Não,5,40 A 49 anos,41 a 44 horas,2022,2
2960681,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Garcom,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Fundamental Completo,21,44,Parda,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1628,De 250 a 499,Não,eSocial,Não,5,18 A 24 anos,41 a 44 horas,2022,3
2960682,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Cozinheiro Geral,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,20,44,Não informada,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1396,De 250 a 499,Não,eSocial,Não,5,18 A 24 anos,41 a 44 horas,2022,4
2960683,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Auxiliar nos Serviços de Alimentação,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,24,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 20 a 49,Não,eSocial,Não,5,18 A 24 anos,41 a 44 horas,2022,5
2960684,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Lavador de Roupas,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,46,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,Zero,Não,eSocial,Não,5,40 A 49 anos,41 a 44 horas,2022,6
2960685,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Copeiro,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,42,44,Parda,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 50 a 99,Não,eSocial,Não,5,40 A 49 anos,41 a 44 horas,2022,7
2960686,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Camareiro  de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,39,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1300,De 10 a 19,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,8
2960687,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Recepcionista de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Superior Completo,31,44,Não informada,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1641.25,De 20 a 49,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,9
2960688,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Chefe de Cozinha (Desativado em 2010),"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,35,44,Não informada,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,8000,De 250 a 499,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,10
2960689,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Camareiro  de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",6ª a 9ª Fundamental,24,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1325,De 250 a 499,Não,eSocial,Não,5,18 A 24 anos,41 a 44 horas,2022,11
2960690,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Continuo,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,40,44,Parda,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 20 a 49,Não,eSocial,Não,5,40 A 49 anos,41 a 44 horas,2022,12
2960691,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Recepcionista de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,31,44,Parda,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 20 a 49,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,13
2960692,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Recepcionista de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,20,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1500,De 10 a 19,Não,eSocial,Não,5,18 A 24 anos,41 a 44 horas,2022,14
2960693,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Auxiliar de Manutenção Predial,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,30,44,Parda,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1587.36,De 100 a 249,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,15
2960694,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Camareiro  de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,34,44,Parda,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 20 a 49,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,16
2960695,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Continuo,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Médio Completo,39,44,Não informada,Homem,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1249.47,De 50 a 99,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,17
2960696,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Chefe de Portaria de Hotel,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Superior Completo,39,44,Não informada,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,9463.5,De 250 a 499,Não,eSocial,Não,5,30 A 39 anos,41 a 44 horas,2022,18
2960697,2022-06,Al-Maceio,Alojamento e Alimentação,Hotéis,-1,Auxiliar nos Serviços de Alimentação,"Empregado - Geral, inclusive o empregado público da administração direta ou indireta contratado pela CLT",Fundamental Completo,46,44,Parda,Mulher,CNPJ RAIZ,CNPJ,Desligamento a pedido,Não Deficiente,Não,Não,1307.87,De 10 a 19,Não,eSocial,Não,5,40 A 49 anos,41 a 44 horas,2022,19
